Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2007 12:00:00 AM,Train Passengers,1817,1279.0
US-Mexico Border,03/01/2007 12:00:00 AM,Trains,951,643.0
US-Mexico Border,02/01/2007 12:00:00 AM,Personal Vehicle Passengers,12722598,17031170.0
US-Mexico Border,02/01/2007 12:00:00 AM,Personal Vehicles,6476693,7169510.0
US-Mexico Border,02/01/2007 12:00:00 AM,Pedestrians,3742490,3850903.0
US-Canada Border,02/01/2007 12:00:00 AM,Personal Vehicle Passengers,3421337,6463403.0
US-Canada Border,02/01/2007 12:00:00 AM,Personal Vehicles,1804361,2852837.0
US-Canada Border,02/01/2007 12:00:00 AM,Trucks,514972,546594.0
US-Canada Border,02/01/2007 12:00:00 AM,Truck Containers Full,430045,399210.0
US-Mexico Border,02/01/2007 12:00:00 AM,Trucks,378824,353958.0
US-Mexico Border,02/01/2007 12:00:00 AM,Truck Containers Full,244817,201161.0
US-Mexico Border,02/01/2007 12:00:00 AM,Bus Passengers,209480,272332.0
US-Canada Border,02/01/2007 12:00:00 AM,Bus Passengers,191802,339040.0
US-Mexico Border,02/01/2007 12:00:00 AM,Truck Containers Empty,138774,143485.0
US-Canada Border,02/01/2007 12:00:00 AM,Rail Containers Full,99058,95078.0
US-Canada Border,02/01/2007 12:00:00 AM,Truck Containers Empty,78024,67440.0
US-Canada Border,02/01/2007 12:00:00 AM,Rail Containers Empty,36296,31479.0
US-Mexico Border,02/01/2007 12:00:00 AM,Rail Containers Empty,34688,24958.0
US-Mexico Border,02/01/2007 12:00:00 AM,Rail Containers Full,28480,21185.0
US-Mexico Border,02/01/2007 12:00:00 AM,Buses,19608,21758.0
US-Canada Border,02/01/2007 12:00:00 AM,Pedestrians,11668,57942.0
US-Canada Border,02/01/2007 12:00:00 AM,Train Passengers,9292,20176.0
US-Canada Border,02/01/2007 12:00:00 AM,Buses,7536,13653.0
US-Canada Border,02/01/2007 12:00:00 AM,Trains,2146,2765.0
US-Mexico Border,02/01/2007 12:00:00 AM,Train Passengers,1670,1276.0
US-Mexico Border,02/01/2007 12:00:00 AM,Trains,804,641.0
US-Mexico Border,01/01/2007 12:00:00 AM,Personal Vehicle Passengers,13855551,17055228.0
US-Mexico Border,01/01/2007 12:00:00 AM,Personal Vehicles,7020124,7170641.0
US-Mexico Border,01/01/2007 12:00:00 AM,Pedestrians,3776421,3851468.0
US-Canada Border,01/01/2007 12:00:00 AM,Personal Vehicle Passengers,3364197,6486882.0
US-Canada Border,01/01/2007 12:00:00 AM,Personal Vehicles,2071670,2858755.0
US-Canada Border,01/01/2007 12:00:00 AM,Trucks,536693,546669.0
US-Canada Border,01/01/2007 12:00:00 AM,Truck Containers Full,436935,398924.0
US-Mexico Border,01/01/2007 12:00:00 AM,Trucks,390428,353682.0
US-Mexico Border,01/01/2007 12:00:00 AM,Bus Passengers,255478,272459.0
US-Mexico Border,01/01/2007 12:00:00 AM,Truck Containers Full,235729,200899.0
US-Canada Border,01/01/2007 12:00:00 AM,Bus Passengers,194298,340137.0
US-Mexico Border,01/01/2007 12:00:00 AM,Truck Containers Empty,141980,143496.0
US-Canada Border,01/01/2007 12:00:00 AM,Rail Containers Full,112951,94943.0
US-Canada Border,01/01/2007 12:00:00 AM,Truck Containers Empty,79364,67349.0
US-Canada Border,01/01/2007 12:00:00 AM,Rail Containers Empty,44681,31379.0
US-Mexico Border,01/01/2007 12:00:00 AM,Rail Containers Empty,36684,24869.0
US-Mexico Border,01/01/2007 12:00:00 AM,Rail Containers Full,24424,21161.0
US-Mexico Border,01/01/2007 12:00:00 AM,Buses,21571,21759.0
US-Canada Border,01/01/2007 12:00:00 AM,Pedestrians,15290,58265.0
US-Canada Border,01/01/2007 12:00:00 AM,Train Passengers,8624,20264.0
US-Canada Border,01/01/2007 12:00:00 AM,Buses,8313,13693.0
US-Canada Border,01/01/2007 12:00:00 AM,Trains,2481,2767.0
US-Mexico Border,01/01/2007 12:00:00 AM,Train Passengers,1727,1273.0
US-Mexico Border,01/01/2007 12:00:00 AM,Trains,834,640.0
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,15815174,17064694.0
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,7455033,7168470.0
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,4664264,3845263.0
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,4427650,6502601.0
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,2244897,2863441.0
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,470527,547250.0
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,386579,399018.0
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,356786,353658.0
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,313493,272146.0
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,221580,341042.0
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,220509,200749.0
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,136176,143552.0
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,110378,94825.0
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,71567,67317.0
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,40165,31312.0
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,36424,24781.0
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,31129,21085.0
US-Mexico Border,12/01/2006 12:00:00 AM,Buses,24575,21738.0
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,22663,58537.0
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,13751,20313.0
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,13733.0
US-Canada Border,12/01/2006 12:00:00 AM,Trains,2822,2767.0
US-Mexico Border,12/01/2006 12:00:00 AM,Train Passengers,1641,1270.0
US-Mexico Border,12/01/2006 12:00:00 AM,Trains,847,638.0
US-Mexico Border,11/01/2006 12:00:00 AM,Personal Vehicle Passengers,15305057,17078230.0
US-Mexico Border,11/01/2006 12:00:00 AM,Personal Vehicles,7518950,7165774.0
US-Canada Border,11/01/2006 12:00:00 AM,Personal Vehicle Passengers,4330100,6519313.0
US-Mexico Border,11/01/2006 12:00:00 AM,Pedestrians,4251373,3842139.0
US-Canada Border,11/01/2006 12:00:00 AM,Personal Vehicles,2165435,2868810.0
US-Canada Border,11/01/2006 12:00:00 AM,Trucks,544329,547272.0
US-Canada Border,11/01/2006 12:00:00 AM,Truck Containers Full,457215,398571.0
US-Mexico Border,11/01/2006 12:00:00 AM,Trucks,370937,353525.0
US-Canada Border,11/01/2006 12:00:00 AM,Bus Passengers,255862,341697.0
US-Mexico Border,11/01/2006 12:00:00 AM,Bus Passengers,247070,272339.0
US-Mexico Border,11/01/2006 12:00:00 AM,Truck Containers Full,239793,200449.0
US-Mexico Border,11/01/2006 12:00:00 AM,Truck Containers Empty,148205,143516.0
US-Canada Border,11/01/2006 12:00:00 AM,Rail Containers Full,112898,94686.0
US-Canada Border,11/01/2006 12:00:00 AM,Truck Containers Empty,81356,67209.0
US-Canada Border,11/01/2006 12:00:00 AM,Rail Containers Empty,44020,31214.0
US-Mexico Border,11/01/2006 12:00:00 AM,Rail Containers Empty,37803,24681.0
US-Mexico Border,11/01/2006 12:00:00 AM,Rail Containers Full,32515,20997.0
US-Canada Border,11/01/2006 12:00:00 AM,Pedestrians,26728,58781.0
US-Mexico Border,11/01/2006 12:00:00 AM,Buses,24846,21714.0
US-Canada Border,11/01/2006 12:00:00 AM,Train Passengers,10958,20385.0
US-Canada Border,11/01/2006 12:00:00 AM,Buses,9683,13764.0
US-Canada Border,11/01/2006 12:00:00 AM,Trains,2739,2767.0
US-Mexico Border,11/01/2006 12:00:00 AM,Train Passengers,1310,1270.0
US-Mexico Border,11/01/2006 12:00:00 AM,Trains,842,637.0
US-Mexico Border,10/01/2006 12:00:00 AM,Personal Vehicle Passengers,13828727,17103420.0
US-Mexico Border,10/01/2006 12:00:00 AM,Personal Vehicles,7168153,7165756.0
US-Canada Border,10/01/2006 12:00:00 AM,Personal Vehicle Passengers,4752015,6533013.0
US-Mexico Border,10/01/2006 12:00:00 AM,Pedestrians,4041234,3840596.0
US-Canada Border,10/01/2006 12:00:00 AM,Personal Vehicles,2394754,2872485.0
US-Canada Border,10/01/2006 12:00:00 AM,Trucks,576799,547044.0
US-Canada Border,10/01/2006 12:00:00 AM,Truck Containers Full,481998,397924.0
US-Canada Border,10/01/2006 12:00:00 AM,Bus Passengers,475409,340660.0
US-Mexico Border,10/01/2006 12:00:00 AM,Trucks,415454,353045.0
US-Mexico Border,10/01/2006 12:00:00 AM,Bus Passengers,255646,272468.0
US-Mexico Border,10/01/2006 12:00:00 AM,Truck Containers Full,250335,200062.0
US-Mexico Border,10/01/2006 12:00:00 AM,Truck Containers Empty,159687,143391.0
US-Canada Border,10/01/2006 12:00:00 AM,Rail Containers Full,116689,94516.0
US-Canada Border,10/01/2006 12:00:00 AM,Truck Containers Empty,85264,67069.0
US-Canada Border,10/01/2006 12:00:00 AM,Pedestrians,57738,58789.0
US-Canada Border,10/01/2006 12:00:00 AM,Rail Containers Empty,46293,31097.0
US-Mexico Border,10/01/2006 12:00:00 AM,Rail Containers Empty,38962,24570.0
US-Mexico Border,10/01/2006 12:00:00 AM,Rail Containers Full,33581,20899.0
US-Mexico Border,10/01/2006 12:00:00 AM,Buses,21822,21713.0
US-Canada Border,10/01/2006 12:00:00 AM,Train Passengers,13687,20437.0
US-Canada Border,10/01/2006 12:00:00 AM,Buses,11684,13780.0
US-Canada Border,10/01/2006 12:00:00 AM,Trains,2737,2767.0
US-Mexico Border,10/01/2006 12:00:00 AM,Train Passengers,2067,1263.0
US-Mexico Border,10/01/2006 12:00:00 AM,Trains,954,634.0
US-Mexico Border,09/01/2006 12:00:00 AM,Personal Vehicle Passengers,13571521,17131013.0
US-Mexico Border,09/01/2006 12:00:00 AM,Personal Vehicles,6811433,7168524.0
US-Canada Border,09/01/2006 12:00:00 AM,Personal Vehicle Passengers,5567958,6540552.0
US-Mexico Border,09/01/2006 12:00:00 AM,Pedestrians,3770596,3841143.0
US-Canada Border,09/01/2006 12:00:00 AM,Personal Vehicles,2676082,2874020.0
US-Canada Border,09/01/2006 12:00:00 AM,Trucks,542189,547081.0
US-Canada Border,09/01/2006 12:00:00 AM,Truck Containers Full,452851,397495.0
US-Mexico Border,09/01/2006 12:00:00 AM,Trucks,383450,352808.0
US-Canada Border,09/01/2006 12:00:00 AM,Bus Passengers,266393,341241.0
US-Mexico Border,09/01/2006 12:00:00 AM,Truck Containers Full,246727,199698.0
US-Mexico Border,09/01/2006 12:00:00 AM,Bus Passengers,222004,272863.0
US-Mexico Border,09/01/2006 12:00:00 AM,Truck Containers Empty,136347,143446.0
US-Canada Border,09/01/2006 12:00:00 AM,Rail Containers Full,108601,94406.0
US-Canada Border,09/01/2006 12:00:00 AM,Truck Containers Empty,82494,66949.0
US-Canada Border,09/01/2006 12:00:00 AM,Pedestrians,53180,58833.0
US-Canada Border,09/01/2006 12:00:00 AM,Rail Containers Empty,43203,31003.0
US-Mexico Border,09/01/2006 12:00:00 AM,Rail Containers Empty,36318,24479.0
US-Mexico Border,09/01/2006 12:00:00 AM,Rail Containers Full,33461,20801.0
US-Canada Border,09/01/2006 12:00:00 AM,Train Passengers,23712,20412.0
US-Mexico Border,09/01/2006 12:00:00 AM,Buses,20686,21721.0
US-Canada Border,09/01/2006 12:00:00 AM,Buses,10662,13805.0
US-Canada Border,09/01/2006 12:00:00 AM,Trains,2583,2769.0
US-Mexico Border,09/01/2006 12:00:00 AM,Train Passengers,1839,1259.0
US-Mexico Border,09/01/2006 12:00:00 AM,Trains,860,633.0
US-Mexico Border,08/01/2006 12:00:00 AM,Personal Vehicle Passengers,14876795,17148762.0
US-Mexico Border,08/01/2006 12:00:00 AM,Personal Vehicles,7254940,7167844.0
US-Canada Border,08/01/2006 12:00:00 AM,Personal Vehicle Passengers,7189697,6535441.0
US-Mexico Border,08/01/2006 12:00:00 AM,Pedestrians,3839914,3841152.0
US-Canada Border,08/01/2006 12:00:00 AM,Personal Vehicles,3184166,2871578.0
US-Canada Border,08/01/2006 12:00:00 AM,Trucks,594103,546711.0
US-Canada Border,08/01/2006 12:00:00 AM,Truck Containers Full,495837,396720.0
US-Mexico Border,08/01/2006 12:00:00 AM,Trucks,423336,352252.0
US-Canada Border,08/01/2006 12:00:00 AM,Bus Passengers,301791,341551.0
US-Mexico Border,08/01/2006 12:00:00 AM,Bus Passengers,271674,272872.0
US-Mexico Border,08/01/2006 12:00:00 AM,Truck Containers Full,263686,199194.0
US-Mexico Border,08/01/2006 12:00:00 AM,Truck Containers Empty,157966,143331.0
US-Canada Border,08/01/2006 12:00:00 AM,Rail Containers Full,117288,94225.0
US-Canada Border,08/01/2006 12:00:00 AM,Pedestrians,105683,58464.0
US-Canada Border,08/01/2006 12:00:00 AM,Truck Containers Empty,91793,66753.0
US-Canada Border,08/01/2006 12:00:00 AM,Rail Containers Empty,43749,30902.0
US-Canada Border,08/01/2006 12:00:00 AM,Train Passengers,39031,20265.0
US-Mexico Border,08/01/2006 12:00:00 AM,Rail Containers Empty,33117,24411.0
US-Mexico Border,08/01/2006 12:00:00 AM,Rail Containers Full,32008,20713.0
US-Mexico Border,08/01/2006 12:00:00 AM,Buses,22131,21718.0
US-Canada Border,08/01/2006 12:00:00 AM,Buses,12061,13818.0
US-Canada Border,08/01/2006 12:00:00 AM,Trains,2736,2769.0
US-Mexico Border,08/01/2006 12:00:00 AM,Train Passengers,1777,1255.0
US-Mexico Border,08/01/2006 12:00:00 AM,Trains,851,631.0
US-Mexico Border,07/01/2006 12:00:00 AM,Personal Vehicle Passengers,15447041,17162268.0
US-Canada Border,07/01/2006 12:00:00 AM,Personal Vehicle Passengers,7463886,6528072.0
US-Mexico Border,07/01/2006 12:00:00 AM,Personal Vehicles,7293192,7166849.0
US-Mexico Border,07/01/2006 12:00:00 AM,Pedestrians,3858945,3841011.0
US-Canada Border,07/01/2006 12:00:00 AM,Personal Vehicles,3278365,2868349.0
US-Canada Border,07/01/2006 12:00:00 AM,Trucks,509647,547005.0
US-Canada Border,07/01/2006 12:00:00 AM,Truck Containers Full,420623,396531.0
US-Mexico Border,07/01/2006 12:00:00 AM,Trucks,384092,352000.0
US-Canada Border,07/01/2006 12:00:00 AM,Bus Passengers,381743,341232.0
US-Mexico Border,07/01/2006 12:00:00 AM,Bus Passengers,333237,272393.0
US-Mexico Border,07/01/2006 12:00:00 AM,Truck Containers Full,236994,198894.0
US-Mexico Border,07/01/2006 12:00:00 AM,Truck Containers Empty,138480,143370.0
US-Canada Border,07/01/2006 12:00:00 AM,Rail Containers Full,106969,94124.0
US-Canada Border,07/01/2006 12:00:00 AM,Pedestrians,99656,58137.0
US-Canada Border,07/01/2006 12:00:00 AM,Truck Containers Empty,77684,66666.0
US-Canada Border,07/01/2006 12:00:00 AM,Rail Containers Empty,42414,30811.0
US-Canada Border,07/01/2006 12:00:00 AM,Train Passengers,38271,20122.0
US-Mexico Border,07/01/2006 12:00:00 AM,Rail Containers Empty,32353,24348.0
US-Mexico Border,07/01/2006 12:00:00 AM,Rail Containers Full,28533,20651.0
US-Mexico Border,07/01/2006 12:00:00 AM,Buses,23258,21706.0
US-Canada Border,07/01/2006 12:00:00 AM,Buses,14914,13810.0
US-Canada Border,07/01/2006 12:00:00 AM,Trains,2597,2770.0
US-Mexico Border,07/01/2006 12:00:00 AM,Train Passengers,1781,1251.0
US-Mexico Border,07/01/2006 12:00:00 AM,Trains,818,629.0
US-Mexico Border,06/01/2006 12:00:00 AM,Personal Vehicle Passengers,14351470,17184755.0
US-Mexico Border,06/01/2006 12:00:00 AM,Personal Vehicles,7177380,7166765.0
US-Canada Border,06/01/2006 12:00:00 AM,Personal Vehicle Passengers,5759598,6534220.0
US-Mexico Border,06/01/2006 12:00:00 AM,Pedestrians,3614010,3842827.0
US-Canada Border,06/01/2006 12:00:00 AM,Personal Vehicles,2720538,2869532.0
US-Canada Border,06/01/2006 12:00:00 AM,Trucks,582843,546719.0
US-Canada Border,06/01/2006 12:00:00 AM,Truck Containers Full,488529,395795.0
US-Mexico Border,06/01/2006 12:00:00 AM,Trucks,417233,351478.0
US-Canada Border,06/01/2006 12:00:00 AM,Bus Passengers,284032,341690.0
US-Mexico Border,06/01/2006 12:00:00 AM,Truck Containers Full,264514,198369.0
US-Mexico Border,06/01/2006 12:00:00 AM,Bus Passengers,248200,272586.0
US-Mexico Border,06/01/2006 12:00:00 AM,Truck Containers Empty,141908,143382.0
US-Canada Border,06/01/2006 12:00:00 AM,Rail Containers Full,118525,93929.0
US-Canada Border,06/01/2006 12:00:00 AM,Truck Containers Empty,89573,66483.0
US-Canada Border,06/01/2006 12:00:00 AM,Rail Containers Empty,43781,30707.0
US-Mexico Border,06/01/2006 12:00:00 AM,Rail Containers Empty,34619,24265.0
US-Canada Border,06/01/2006 12:00:00 AM,Pedestrians,34172,58329.0
US-Canada Border,06/01/2006 12:00:00 AM,Train Passengers,33429,20016.0
US-Mexico Border,06/01/2006 12:00:00 AM,Rail Containers Full,33236,20550.0
US-Mexico Border,06/01/2006 12:00:00 AM,Buses,21135,21710.0
US-Canada Border,06/01/2006 12:00:00 AM,Buses,11425,13829.0
US-Canada Border,06/01/2006 12:00:00 AM,Trains,2754,2770.0
US-Mexico Border,06/01/2006 12:00:00 AM,Train Passengers,1953,1245.0
US-Mexico Border,06/01/2006 12:00:00 AM,Trains,871,627.0
US-Mexico Border,05/01/2006 12:00:00 AM,Personal Vehicle Passengers,14854291,17203549.0
US-Mexico Border,05/01/2006 12:00:00 AM,Personal Vehicles,7519061,7163923.0
US-Canada Border,05/01/2006 12:00:00 AM,Personal Vehicle Passengers,5380492,6543524.0
US-Mexico Border,05/01/2006 12:00:00 AM,Pedestrians,3677021,3844164.0
US-Canada Border,05/01/2006 12:00:00 AM,Personal Vehicles,2602915,2871682.0
US-Canada Border,05/01/2006 12:00:00 AM,Trucks,605389,546246.0
US-Canada Border,05/01/2006 12:00:00 AM,Truck Containers Full,521530,394781.0
US-Mexico Border,05/01/2006 12:00:00 AM,Trucks,421037,350917.0
US-Canada Border,05/01/2006 12:00:00 AM,Bus Passengers,359999,341542.0
US-Mexico Border,05/01/2006 12:00:00 AM,Truck Containers Full,283704,197681.0
US-Mexico Border,05/01/2006 12:00:00 AM,Bus Passengers,243546,272821.0
US-Mexico Border,05/01/2006 12:00:00 AM,Truck Containers Empty,138372,143422.0
US-Canada Border,05/01/2006 12:00:00 AM,Rail Containers Full,120126,93718.0
US-Canada Border,05/01/2006 12:00:00 AM,Truck Containers Empty,85111,66333.0
US-Canada Border,05/01/2006 12:00:00 AM,Rail Containers Empty,42617,30611.0
US-Mexico Border,05/01/2006 12:00:00 AM,Rail Containers Empty,35118,24178.0
US-Mexico Border,05/01/2006 12:00:00 AM,Rail Containers Full,34672,20436.0
US-Canada Border,05/01/2006 12:00:00 AM,Pedestrians,28750,58568.0
US-Canada Border,05/01/2006 12:00:00 AM,Train Passengers,23683,19986.0
US-Mexico Border,05/01/2006 12:00:00 AM,Buses,20802,21718.0
US-Canada Border,05/01/2006 12:00:00 AM,Buses,13299,13833.0
US-Canada Border,05/01/2006 12:00:00 AM,Trains,2812,2770.0
US-Mexico Border,05/01/2006 12:00:00 AM,Train Passengers,2072,1238.0
US-Mexico Border,05/01/2006 12:00:00 AM,Trains,894,625.0
US-Mexico Border,04/01/2006 12:00:00 AM,Personal Vehicle Passengers,15590094,17216666.0
US-Mexico Border,04/01/2006 12:00:00 AM,Personal Vehicles,7532326,7160928.0
US-Canada Border,04/01/2006 12:00:00 AM,Personal Vehicle Passengers,5038219,6555762.0
US-Mexico Border,04/01/2006 12:00:00 AM,Pedestrians,3695482,3845373.0
US-Canada Border,04/01/2006 12:00:00 AM,Personal Vehicles,2399978,2875517.0
US-Canada Border,04/01/2006 12:00:00 AM,Trucks,546766,546241.0
US-Canada Border,04/01/2006 12:00:00 AM,Truck Containers Full,490792,394000.0
US-Mexico Border,04/01/2006 12:00:00 AM,Trucks,385711,350634.0
US-Mexico Border,04/01/2006 12:00:00 AM,Bus Passengers,257502,272945.0
US-Mexico Border,04/01/2006 12:00:00 AM,Truck Containers Full,251598,197242.0
US-Canada Border,04/01/2006 12:00:00 AM,Bus Passengers,249113,342294.0
US-Mexico Border,04/01/2006 12:00:00 AM,Truck Containers Empty,131365,143520.0
US-Canada Border,04/01/2006 12:00:00 AM,Rail Containers Full,126848,93449.0
US-Canada Border,04/01/2006 12:00:00 AM,Truck Containers Empty,76570,66250.0
US-Canada Border,04/01/2006 12:00:00 AM,Rail Containers Empty,43399,30507.0
US-Canada Border,04/01/2006 12:00:00 AM,Pedestrians,39516,58723.0
US-Mexico Border,04/01/2006 12:00:00 AM,Rail Containers Empty,35247,24088.0
US-Mexico Border,04/01/2006 12:00:00 AM,Rail Containers Full,32819,20336.0
US-Mexico Border,04/01/2006 12:00:00 AM,Buses,21068,21723.0
US-Canada Border,04/01/2006 12:00:00 AM,Train Passengers,13659,20038.0
US-Canada Border,04/01/2006 12:00:00 AM,Buses,10133,13863.0
US-Canada Border,04/01/2006 12:00:00 AM,Trains,2709,2771.0
US-Mexico Border,04/01/2006 12:00:00 AM,Train Passengers,1601,1236.0
US-Mexico Border,04/01/2006 12:00:00 AM,Trains,773,624.0
US-Mexico Border,03/01/2006 12:00:00 AM,Personal Vehicle Passengers,15811178,17228186.0
US-Mexico Border,03/01/2006 12:00:00 AM,Personal Vehicles,7876937,7155059.0
US-Canada Border,03/01/2006 12:00:00 AM,Personal Vehicle Passengers,4854042,6569711.0
US-Mexico Border,03/01/2006 12:00:00 AM,Pedestrians,3889843,3845009.0
US-Canada Border,03/01/2006 12:00:00 AM,Personal Vehicles,2340385,2879903.0
US-Canada Border,03/01/2006 12:00:00 AM,Trucks,600750,545795.0
US-Canada Border,03/01/2006 12:00:00 AM,Truck Containers Full,530942,392878.0
US-Mexico Border,03/01/2006 12:00:00 AM,Trucks,428671,349994.0
US-Mexico Border,03/01/2006 12:00:00 AM,Bus Passengers,284313,272852.0
US-Mexico Border,03/01/2006 12:00:00 AM,Truck Containers Full,283122,196538.0
US-Canada Border,03/01/2006 12:00:00 AM,Bus Passengers,241209,343122.0
US-Mexico Border,03/01/2006 12:00:00 AM,Truck Containers Empty,143420,143521.0
US-Canada Border,03/01/2006 12:00:00 AM,Rail Containers Full,130854,93142.0
US-Canada Border,03/01/2006 12:00:00 AM,Truck Containers Empty,90922,66048.0
US-Canada Border,03/01/2006 12:00:00 AM,Rail Containers Empty,44368,30394.0
US-Mexico Border,03/01/2006 12:00:00 AM,Rail Containers Empty,35841,23992.0
US-Mexico Border,03/01/2006 12:00:00 AM,Rail Containers Full,34678,20218.0
US-Canada Border,03/01/2006 12:00:00 AM,Pedestrians,26385,58988.0
US-Mexico Border,03/01/2006 12:00:00 AM,Buses,22077,21720.0
US-Canada Border,03/01/2006 12:00:00 AM,Train Passengers,12460,20100.0
US-Canada Border,03/01/2006 12:00:00 AM,Buses,9202,13901.0
US-Canada Border,03/01/2006 12:00:00 AM,Trains,2812,2770.0
US-Mexico Border,03/01/2006 12:00:00 AM,Train Passengers,1921,1230.0
US-Mexico Border,03/01/2006 12:00:00 AM,Trains,886,622.0
US-Mexico Border,02/01/2006 12:00:00 AM,Personal Vehicle Passengers,14036680,17254563.0
US-Mexico Border,02/01/2006 12:00:00 AM,Personal Vehicles,7008359,7156272.0
US-Canada Border,02/01/2006 12:00:00 AM,Personal Vehicle Passengers,3932488,6591506.0
US-Mexico Border,02/01/2006 12:00:00 AM,Pedestrians,3434057,3848405.0
US-Canada Border,02/01/2006 12:00:00 AM,Personal Vehicles,1930380,2887750.0
US-Canada Border,02/01/2006 12:00:00 AM,Trucks,524623,545969.0
US-Canada Border,02/01/2006 12:00:00 AM,Truck Containers Full,465306,392279.0
US-Mexico Border,02/01/2006 12:00:00 AM,Trucks,381670,349732.0
US-Mexico Border,02/01/2006 12:00:00 AM,Truck Containers Full,249897,196097.0
US-Mexico Border,02/01/2006 12:00:00 AM,Bus Passengers,245881,273075.0
US-Canada Border,02/01/2006 12:00:00 AM,Bus Passengers,210590,344217.0
US-Mexico Border,02/01/2006 12:00:00 AM,Truck Containers Empty,125724,143668.0
US-Canada Border,02/01/2006 12:00:00 AM,Rail Containers Full,114632,92964.0
US-Canada Border,02/01/2006 12:00:00 AM,Truck Containers Empty,81178,65922.0
US-Canada Border,02/01/2006 12:00:00 AM,Rail Containers Empty,38467,30327.0
US-Mexico Border,02/01/2006 12:00:00 AM,Rail Containers Empty,29806,23943.0
US-Mexico Border,02/01/2006 12:00:00 AM,Rail Containers Full,27670,20157.0
US-Mexico Border,02/01/2006 12:00:00 AM,Buses,18938,21743.0
US-Canada Border,02/01/2006 12:00:00 AM,Pedestrians,18189,59325.0
US-Canada Border,02/01/2006 12:00:00 AM,Train Passengers,10902,20176.0
US-Canada Border,02/01/2006 12:00:00 AM,Buses,8227,13948.0
US-Canada Border,02/01/2006 12:00:00 AM,Trains,2500,2772.0
US-Mexico Border,02/01/2006 12:00:00 AM,Train Passengers,1648,1226.0
US-Mexico Border,02/01/2006 12:00:00 AM,Trains,741,621.0
US-Mexico Border,01/01/2006 12:00:00 AM,Personal Vehicle Passengers,15766986,17266959.0
US-Mexico Border,01/01/2006 12:00:00 AM,Personal Vehicles,7679806,7151909.0
US-Canada Border,01/01/2006 12:00:00 AM,Personal Vehicle Passengers,4289892,6610686.0
US-Mexico Border,01/01/2006 12:00:00 AM,Pedestrians,3514675,3851186.0
US-Canada Border,01/01/2006 12:00:00 AM,Personal Vehicles,2100629,2894310.0
US-Canada Border,01/01/2006 12:00:00 AM,Trucks,551284,545925.0
US-Canada Border,01/01/2006 12:00:00 AM,Truck Containers Full,482378,391528.0
US-Mexico Border,01/01/2006 12:00:00 AM,Trucks,392139,349379.0
US-Mexico Border,01/01/2006 12:00:00 AM,Bus Passengers,264716,273144.0
US-Mexico Border,01/01/2006 12:00:00 AM,Truck Containers Full,255761,195600.0
US-Canada Border,01/01/2006 12:00:00 AM,Bus Passengers,251382,344991.0
US-Mexico Border,01/01/2006 12:00:00 AM,Truck Containers Empty,136117,143731.0
US-Canada Border,01/01/2006 12:00:00 AM,Rail Containers Full,124583,92701.0
US-Canada Border,01/01/2006 12:00:00 AM,Truck Containers Empty,81531,65792.0
US-Canada Border,01/01/2006 12:00:00 AM,Rail Containers Empty,42920,30222.0
US-Mexico Border,01/01/2006 12:00:00 AM,Rail Containers Empty,34430,23856.0
US-Mexico Border,01/01/2006 12:00:00 AM,Rail Containers Full,28951,20083.0
US-Canada Border,01/01/2006 12:00:00 AM,Pedestrians,22352,59633.0
US-Mexico Border,01/01/2006 12:00:00 AM,Buses,21524,21745.0
US-Canada Border,01/01/2006 12:00:00 AM,Train Passengers,11140,20251.0
US-Canada Border,01/01/2006 12:00:00 AM,Buses,9719,13984.0
US-Canada Border,01/01/2006 12:00:00 AM,Trains,2725,2773.0
US-Mexico Border,01/01/2006 12:00:00 AM,Train Passengers,1894,1221.0
US-Mexico Border,01/01/2006 12:00:00 AM,Trains,829,619.0
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,17017684,17269054.0
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicles,8010543,7144694.0
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,4698646,6626754.0
US-Mexico Border,12/01/2005 12:00:00 AM,Pedestrians,4241702,3847904.0
